ratio,dH
0.187803358,-11455.24391
0.337321596,-11181.11055
0.487956551,-10693.09611
0.639720779,-9906.960697
0.792627029,-8942.205362
0.946688238,-7272.179329
1.101917542,-5517.687934
1.258328277,-4262.692854
1.415933981,-3666.474235
1.574748402,-3426.242868
1.734785497,-3271.250145
1.896059442,-3148.979439
2.058584629,-3054.713314
2.222375678,-2914.966223
2.387447436,-2265.94603
2.553814982,-987.9718237
2.721493634,-181.1706949
2.890498953,-61.36741571
3.060846745,-34.09112807
3.23255307,-29.04244714
3.405634246,56.22555119
3.58010685,25.52169971
3.755987729,73.91330221
3.933294003,50.33458026
4.112043071,68.20164135
4.292252614,50.69154216